City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Menongue,AO,-14.6585,17.691,72.21,67,100,4.68,overcast clouds
262,Seleus,RO,46.3833,21.7167,39.0,76,100,5.39,overcast clouds
263,Gat,IL,31.61,34.7642,69.78,40,3,13.31,clear sky
264,Sarakhs,IR,36.5449,61.1577,56.93,44,0,8.61,clear sky
265,Dhidhdhoo,MV,6.8833,73.1,82.38,73,64,6.93,broken clouds
266,Kenai,US,60.5544,-151.2583,11.14,88,90,9.22,light snow
267,Saiki,JP,32.95,131.9,51.26,68,20,8.39,few clouds
268,Nemuro,JP,43.3236,145.575,35.37,46,3,9.13,clear sky
269,Kathu,TH,7.9178,98.3332,85.82,61,50,13.82,scattered clouds
270,Northam,GB,51.0333,-4.2167,45.61,80,53,28.54,broken clouds
271,Praia,CV,14.9215,-23.5087,72.14,83,75,16.11,broken clouds
272,Srem,PL,52.0887,17.0151,33.82,99,100,6.67,light snow
273,Iskateley,RU,67.6803,53.1512,15.42,87,85,8.7,overcast clouds
274,Dingtao,CN,35.0683,115.5625,56.35,33,0,6.71,clear sky
275,Haines Junction,CA,60.7522,-137.5108,-25.38,100,57,1.23,broken clouds
276,Kudahuvadhoo,MV,2.6708,72.8944,82.17,78,97,15.48,overcast clouds
277,Mayskiy,RU,47.6931,40.1025,38.61,96,100,10.27,light rain
278,Agadez,NE,19.75,10.25,61.05,23,69,8.97,broken clouds
279,Sotuta,MX,20.6,-89.0167,63.28,97,1,2.66,clear sky
280,Lillehammer,NO,61.1146,10.4674,15.58,97,100,2.06,overcast clouds
281,Quatre Cocos,MU,-20.2078,57.7625,85.08,67,12,13.04,few clouds
282,Egvekinot,RU,66.3167,-179.1667,-3.26,97,100,20.83,snow
283,Olafsvik,IS,64.8945,-23.7142,37.56,69,100,41.23,overcast clouds
284,Martapura,ID,-3.4167,114.85,86.09,74,40,11.5,light rain
285,Conakry,GN,9.538,-13.6773,76.35,83,6,11.3,clear sky
286,Mizan Teferi,ET,6.9833,35.5833,82.24,37,6,2.39,clear sky
287,Pasrur,PK,32.2641,74.6634,71.44,50,100,5.55,overcast clouds
288,Nenjiang,CN,49.1833,125.2167,11.82,97,99,5.32,overcast clouds
289,Ahuimanu,US,21.4447,-157.8378,73.11,81,75,0.0,light rain
290,Gravdal,NO,68.1214,13.5031,24.37,60,34,7.31,scattered clouds
291,Poso,ID,-1.3959,120.7524,81.57,83,99,2.28,overcast clouds
292,San Miguel,SV,13.4833,-88.1833,71.24,85,1,3.85,clear sky
293,Tuatapere,NZ,-46.1333,167.6833,50.83,84,100,7.16,overcast clouds
294,Hefei,CN,31.8639,117.2808,58.82,32,2,3.15,clear sky
295,Puerto Escondido,MX,15.85,-97.0667,76.89,65,0,4.32,clear sky
296,Anju,KP,39.6178,125.6647,32.95,70,43,3.38,scattered clouds
297,Lamar,US,33.6668,-95.5836,65.86,100,90,4.61,mist
